symbol,company_name,listed_date
BTN,Công ty Cổ phần Đầu tư Bitco Bình Định,2018-01-05T00:00:00
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,2009-11-25T00:00:00
BTS,Công ty Cổ phần Xi măng VICEM Bút Sơn,2006-12-05T00:00:00
BTU,Công ty Cổ phần Công trình Đô thị Bến Tre,2016-03-11T00:00:00
BVL,Công ty Cổ phần BV Land,2021-06-11T00:00:00
BVS,Công ty Cổ phần Chứng khoán Bảo Việt,2006-12-18T00:00:00
BWA,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,2010-06-14T00:00:00
C21,Công ty Cổ phần Thế kỷ 21,2016-11-01T00:00:00
C22,Công ty Cổ phần 22,2018-05-24T00:00:00
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,2010-04-15T00:00:00
CCR,Công ty Cổ phần Cảng Cam Ranh,2015-09-24T00:00:00
CCT,Công ty Cổ phần Cảng Cần Thơ,2017-06-30T00:00:00
CCV,Công ty Cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,2017-01-09T00:00:00
CDN,Công ty Cổ phần Cảng Đà Nẵng,2016-11-30T00:00:00
CDO,Công ty Cổ phần Tư vấn Thiết kế và Phát triển Đô thị,2015-03-09T00:00:00
CDP,Công ty Cổ phần Dược phẩm Trung ương Codupha,2018-07-13T00:00:00
CIA,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh,2017-11-29T00:00:00
CID,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,2005-07-14T00:00:00
CK8,Công ty Cổ phần Cơ khí 120,2023-01-06T00:00:00
CKD,Công ty Cổ phần Cơ khí Đông Anh Licogi,2015-05-21T00:00:00
CLI,Công ty Cổ phần Tập đoàn CNCTech,2026-05-06T00:00:00
CLM,Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin,2016-04-15T00:00:00
CLX,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),2017-03-01T00:00:00
CMM,Công ty Cổ phần Camimex,2022-11-08T00:00:00
CMN,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,2017-07-10T00:00:00
CMP,Công ty Cổ phần Cảng Chân Mây,2016-02-15T00:00:00
CQN,Công ty Cổ phần Cảng Quảng Ninh,2020-08-18T00:00:00
CQT,Công ty Cổ phần Xi măng Quán Triều VVMI,2016-11-01T00:00:00
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,2018-09-05T00:00:00
CRV,Công ty Cổ phần Tập đoàn Bất động sản CRV,2025-10-10T00:00:00
CSC,Công ty Cổ phần Tập đoàn COTANA,2009-11-04T00:00:00
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,2009-08-11T00:00:00
CST,Công ty Cổ phần Than Cao Sơn - TKV,2021-04-26T00:00:00
CSV,Công ty Cổ phần Hóa chất Cơ bản miền Nam,2015-03-18T00:00:00
CT3,Công ty Cổ phần Đầu tư và Xây dựng công trình 3,2009-11-20T00:00:00
CTB,Công ty Cổ phần Chế tạo Bơm Hải Dương,2006-10-10T00:00:00
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,2009-07-16T00:00:00
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,2010-03-19T00:00:00
CTP,Công ty Cổ phần Tập đoàn CTP Group,2016-07-28T00:00:00
CTR,Tổng Công ty Cổ phần Công trình Viettel,2017-10-31T00:00:00
CTW,Công ty Cổ phần Cấp thoát nước Cần Thơ,2016-09-30T00:00:00
CTX,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,2012-05-24T00:00:00
CVT,Công ty Cổ phần CMC,2009-11-05T00:00:00
CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,2010-05-19T00:00:00
CYC,Công ty Cổ phần Gạch men Chang Yih,2006-07-31T00:00:00
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,2009-08-14T00:00:00
DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á,2010-04-08T00:00:00
DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,2014-09-25T00:00:00
DAT,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,2015-11-05T00:00:00
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,2008-03-18T00:00:00
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),2017-01-16T00:00:00
DC1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,2016-07-19T00:00:00
DCL,Công ty Cổ phần Dược phẩm Cửu Long,2008-09-17T00:00:00
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,2014-08-26T00:00:00
DGW,Công ty Cổ phần Thế Giới Số,2015-08-03T00:00:00
DHA,Công ty Cổ phần Hóa An,2004-04-14T00:00:00
DHB,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,2017-07-26T00:00:00
DHD,Công ty Cổ phần Dược Vật Tư Y Tế Hải Dương,2017-05-05T00:00:00
DHM,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,2012-07-24T00:00:00
DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,2011-04-27T00:00:00
DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,2010-06-22T00:00:00
DLT,Công ty Cổ phần Du lịch và Thương mại - Vinacomin,2015-11-16T00:00:00
DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,2009-12-23T00:00:00
DNH,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,2017-06-19T00:00:00
DNN,Công ty Cổ phần Cấp nước Đà Nẵng,2017-07-17T00:00:00
DPC,Công ty Cổ phần Nhựa Đà Nẵng,2001-11-26T00:00:00
DPR,Công ty Cổ phần Cao su Đồng Phú,2007-11-30T00:00:00
DRH,Công ty Cổ phần DRH Holdings,2010-07-26T00:00:00
DRI,Công ty Cổ phần Đầu tư Cao su Đắk Lắk,2017-05-23T00:00:00
DSC,Công ty Cổ phần Chứng khoán DSC,2018-01-05T00:00:00
DSG,Công ty Cổ phần Kính Đáp Cầu,2017-08-11T00:00:00
DST,Công ty Cổ phần Đầu tư Sao Thăng Long,2007-10-16T00:00:00
DTI,Công ty Cổ phần Đầu tư Đức Trung,2018-01-05T00:00:00
DTL,Công ty Cổ phần Đại Thiên Lộc,2010-06-04T00:00:00
DUS,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,2020-01-08T00:00:00
DVG,Công ty Cổ phần Đại Việt Group DVG,2021-01-14T00:00:00
DVN,Tổng Công ty Dược Việt Nam - CTCP,2017-05-19T00:00:00
DWC,Công ty Cổ phần Cấp nước Đắk Lắk,2021-12-22T00:00:00
DWS,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,2019-01-24T00:00:00
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,2008-02-26T00:00:00
E12,Công ty Cổ phần Xây Dựng Điện VNECO 12,2019-12-31T00:00:00
EBS,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,2006-12-21T00:00:00
EIN,Công ty Cổ phần Đầu tư - Thương Mại - Dịch vụ Điện lực,2017-03-16T00:00:00
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,2010-10-13T00:00:00
EMG,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,2017-02-16T00:00:00
EVG,Công ty Cổ phần Tập đoàn Everland,2017-06-08T00:00:00
EVS,Công ty Cổ phần Chứng khoán EVS,2018-08-01T00:00:00
FCM,Công ty Cổ phần Bê tông Phan Vũ Hà Nam,2013-05-15T00:00:00
FCN,Công ty Cổ phần FECON,2012-07-24T00:00:00
FDC,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,2010-01-18T00:00:00
FGL,Công ty Cổ phần Cà phê Gia Lai,2018-09-14T00:00:00
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,2018-04-26T00:00:00
FTM,Công ty Cổ phần Đầu tư và Phát triển Đức Quân,2017-02-06T00:00:00
G20,Công ty Cổ phần Đầu tư Dệt may Vĩnh Phúc,2015-03-09T00:00:00
GDA,Công ty Cổ phần Tôn Đông Á,2023-09-07T00:00:00
GEE,Công ty Cổ phần Điện lực Gelex,2022-03-08T00:00:00
GH3,Công ty Cổ phần Công trình giao thông Hà Nội,2021-08-04T00:00:00
GHC,Công ty Cổ phần Thủy điện Gia Lai,2011-04-26T00:00:00
GMA,Công ty Cổ phần G-Automobile,2020-12-01T00:00:00
GMC,Công ty Cổ phần Garmex Sài Gòn,2006-12-22T00:00:00
GMH,Công ty Cổ phần Minh Hưng Quảng Trị,2022-01-12T00:00:00
GND,Công ty Cổ phần Gạch ngói Đồng Nai,2017-02-21T00:00:00
GPC,Công ty Cổ phần Tập đoàn Green+,2023-01-06T00:00:00
GSM,Công ty Cổ phần Thủy điện Hương Sơn,2015-04-08T00:00:00
GSP,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,2012-03-09T00:00:00
GTT,Công ty Cổ phần Thuận Thảo,2010-06-30T00:00:00
HAC,Công ty Cổ phần Chứng khoán Hải Phòng,2016-10-18T00:00:00
HAG,Công ty Cổ phần Hoàng Anh Gia Lai,2008-12-22T00:00:00
HAM,Công ty Cổ phần Vật tư Hậu Giang,2017-08-21T00:00:00
HAP,Công ty Cổ phần Tập Đoàn Hapaco,2000-08-04T00:00:00
HAS,Công ty Cổ phần Hacisco,2002-12-19T00:00:00
HAV,Công ty Cổ phần Rượu Hapro,2017-11-30T00:00:00
HBH,Công ty Cổ phần HABECO - Hải Phòng,2017-08-10T00:00:00
HBS,Công ty Cổ phần Chứng khoán Hòa Bình,2010-07-16T00:00:00
HC3,Công ty Cổ phần Xây dựng số 3 Hải Phòng,2017-07-11T00:00:00
HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,2016-07-04T00:00:00
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,2018-01-05T00:00:00
HDG,Công ty Cổ phần Tập đoàn Hà Đô,2010-02-02T00:00:00
HEJ,Tổng Công ty Tư vấn Xây dựng Thủy Lợi Việt Nam - CTCP,2017-07-14T00:00:00
HEP,Công ty Cổ phần Môi trường và Công trình đô thị Huế,2017-12-15T00:00:00
HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,2007-12-11T00:00:00
HGT,Công ty Cổ phần Du lịch Hương Giang,2020-10-15T00:00:00
HHG,Công ty Cổ phần Hoàng Hà,2010-07-28T00:00:00
HHN,Công ty Cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội,2016-12-16T00:00:00
HID,Công ty Cổ phần Halcom Vietnam,2016-07-11T00:00:00
HIO,Công ty Cổ Phần Helio Energy,2023-10-23T00:00:00
HKT,Công ty Cổ phần Đầu tư QP Xanh,2017-01-12T00:00:00
HLO,Công Ty Cổ Phần Công Nghệ Ha Lô,2024-06-24T00:00:00
HLS,Công ty Cổ phần Sứ kỹ thuật Hoàng Liên Sơn,2017-10-16T00:00:00
HLT,Công ty Cổ phần Dệt may Hoàng Thị Loan,2019-12-27T00:00:00
HMR,Công ty Cổ phần Đá Hoàng Mai,2022-01-13T00:00:00
HMS,Công ty Cổ phần Xây dựng Bảo tàng Hồ Chí Minh,2017-06-05T00:00:00
HOT,Công ty Cổ phần Du lịch - Dịch vụ Hội An,2011-07-21T00:00:00
HPD,Công ty Cổ phần Thủy điện Đăk Đoa,2015-06-11T00:00:00
HPH,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc,2017-12-28T00:00:00
HPM,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc,2016-01-18T00:00:00
HPO,Công ty Cổ phần Công nghiệp Hapulico,2025-10-22T00:00:00
HPX,Công ty Cổ phần Đầu tư Hải Phát,2018-07-24T00:00:00
HSP,Công ty Cổ phần Sơn Tổng hợp Hà Nội,2020-03-30T00:00:00
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,2007-11-13T00:00:00
HTC,Công ty Cổ phần Thương mại Hóc Môn,2010-05-07T00:00:00
HTT,Công ty Cổ phần Thương mại Hà Tây,2017-07-05T00:00:00
HU3,Công ty Cổ phần Đầu tư và Xây dựng HUD3,2011-03-18T00:00:00
ICG,Công ty Cổ phần Xây dựng Sông Hồng,2009-04-21T00:00:00
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,2011-06-30T00:00:00
IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,2010-06-01T00:00:00
IHK,Công ty Cổ phần In Hàng Không,2010-03-04T00:00:00
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,2010-04-19T00:00:00
ILA,Công ty Cổ phần ILA,2017-11-28T00:00:00
ILC,Công ty Cổ phần Hợp tác lao động với nước ngoài,2018-08-10T00:00:00
IME,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,2009-12-01T00:00:00
IMP,Công ty Cổ phần Dược phẩm Imexpharm,2006-12-04T00:00:00
ITD,Công ty Cổ phần Công nghệ ITD,2011-12-20T00:00:00
JOS,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải,2017-07-28T00:00:00
JVC,Công ty Cổ phần Đầu tư Y tế - Dược phẩm Việt Nam,2011-06-21T00:00:00
KDC,Công ty Cổ phần Tập đoàn KIDO,2005-12-12T00:00:00
KGM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,2017-09-21T00:00:00
KHX,Công ty Cổ phần Phát hành sách Khánh Hoà,2026-01-15T00:00:00
KMR,Công ty Cổ phần Mirae,2008-06-30T00:00:00
KSQ,Công ty Cổ phần CNC Capital Việt Nam,2013-07-26T00:00:00
KST,Công ty Cổ phần KASATI,2010-12-29T00:00:00
KTT,Công ty Cổ phần Tập đoàn Đầu tư KTT,2010-10-28T00:00:00
L14,Công ty Cổ phần Licogi 14,2011-09-13T00:00:00
L61,Công ty Cổ phần Lilama 69-1,2008-11-19T00:00:00
L62,Công ty Cổ phần Lilama 69 - 2,2008-04-21T00:00:00
L63,Công ty Cổ phần Lilama 69-3,2016-10-06T00:00:00
LAI,Công ty Cổ phần Đầu tư Xây dựng Long An IDICO,2015-08-10T00:00:00
LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,2006-12-20T00:00:00
LDP,Công ty Cổ phần Dược Lâm Đồng - Ladophar,2010-07-20T00:00:00
LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9,2017-12-18T00:00:00
LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,2010-01-13T00:00:00
LM3,Công ty Cổ phần Lilama 3,2009-12-01T00:00:00
LMH,Công ty Cổ phần Quốc Tế Holding,2018-10-12T00:00:00
LSG,Công ty Cổ phần Bất động sản Sài Gòn Vi na,2022-05-12T00:00:00
LTC,Công ty Cổ phần Điện nhẹ Viễn Thông,2006-12-14T00:00:00
MA1,Công ty Cổ phần Thiết bị,2020-06-29T00:00:00
MAC,Công ty Cổ phần Tập đoàn Macstar,2009-12-24T00:00:00
MBB,Ngân hàng Thương mại Cổ phần Quân đội,2011-11-01T00:00:00
MBT,Công ty Cổ phần Bất động sản cho thuê Minh Bảo Tín,2025-03-19T00:00:00
MCC,Công ty Cổ phần Gạch ngói cao cấp,2010-04-26T00:00:00
MCF,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,2011-02-14T00:00:00
MCG,Công ty Cổ phần Năng lượng và Bất động sản MCG,2009-09-24T00:00:00
MCM,Công ty Cổ phần Giống bò sữa Mộc Châu,2020-12-18T00:00:00
MCO,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,2006-12-21T00:00:00
MDA,Công ty Cổ phần Môi trường Đô thị Đông Anh,2018-01-10T00:00:00
MEL,Công ty Cổ phần Thép Mê Lin,2017-09-27T00:00:00
MES,Công ty Cổ phần Cơ điện Công trình,2016-12-12T00:00:00
MH3,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,2017-03-06T00:00:00
MIC,Công ty Cổ phần Kỹ nghệ Khoáng sản Quảng Nam,2007-12-21T00:00:00
MIG,Tổng Công ty Cổ phần Bảo hiểm Quân đội,2017-05-05T00:00:00
MLC,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai,2017-05-23T00:00:00
MML,Công ty Cổ phần Masan MEATLife,2019-12-09T00:00:00
MPC,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú,2017-10-16T00:00:00
MPT,Công ty Cổ phần Tập đoàn MPT,2016-01-15T00:00:00
MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,2017-11-08T00:00:00
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,2020-12-23T00:00:00
MSN,Công ty Cổ phần Tập đoàn Masan,2009-11-05T00:00:00
MTP,Công ty Cổ phần Dược Medipharco,2010-09-23T00:00:00
NAB,Ngân hàng Thương mại Cổ phần Nam Á,2020-10-09T00:00:00
NAF,Công ty Cổ phần Nafoods Group,2015-10-07T00:00:00
NAG,Công ty Cổ phần Tập đoàn Nagakawa,2009-09-22T00:00:00
NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Việt Nam,2017-01-25T00:00:00
ND2,Công ty Cổ phần Đầu tư và Phát triển điện Miền Bắc 2,2010-07-22T00:00:00
NDC,Công ty Cổ phần Nam Dược,2010-03-11T00:00:00
NDP,Công ty Cổ phần Dược phẩm 2/9,2013-04-09T00:00:00
NDT,Tổng Công ty Cổ phần Dệt may Nam Định,2018-09-11T00:00:00
NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,2013-07-17T00:00:00
NFC,Công ty Cổ phần Phân lân Ninh Bình,2014-03-03T00:00:00
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,2010-07-13T00:00:00
NHH,Công ty Cổ phần Nhựa Hà Nội,2017-09-08T00:00:00
NHT,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,2017-12-01T00:00:00
NJC,Công ty Cổ phần May Nam Định,2020-12-23T00:00:00
NLG,Công ty Cổ phần Đầu tư Nam Long,2013-04-08T00:00:00
NNT,Công ty Cổ phần Cấp nước Ninh Thuận,2012-06-22T00:00:00
NSC,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam,2006-12-21T00:00:00
NSG,Công ty Cổ phần Nhựa Sài Gòn,2016-05-19T00:00:00
NTF,Công ty Cổ phần Dược - Vật tư y tế Nghệ An,2019-07-04T00:00:00
NTH,Công ty Cổ phần Thủy điện Nước Trong,2019-06-19T00:00:00
NUE,Công ty Cổ phần Môi trường Đô thị Nha Trang,2017-02-20T00:00:00
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,2016-12-28T00:00:00
OIL,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,2018-03-07T00:00:00
ONE,Công ty Cổ phần Công nghệ ONE,2008-06-24T00:00:00
ONW,Công ty Cổ phần Dịch vụ Một Thế giới,2017-02-17T00:00:00
PAP,Công ty Cổ phần Dầu khí đầu tư khai thác Cảng Phước An,2021-07-14T00:00:00
PBC,Công ty Cổ phần Dược Phẩm Trung ương 1 - Pharbaco,2019-11-26T00:00:00
PC1,Công ty Cổ phần Tập đoàn PC1,2016-11-16T00:00:00
PCC,Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolimex,2017-11-14T00:00:00
PCH,Công ty Cổ phần Picomat Holding,2022-07-28T00:00:00
PCM,Công ty Cổ phần Vật liệu Xây dựng Bưu điện,2017-08-10T00:00:00
PCT,Công ty Cổ phần Vận tải Biển Global Pacific,2011-09-12T00:00:00
PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - Công ty Cổ phần,2018-11-05T00:00:00
PGB,Ngân hàng Thương mại Cổ phần Thịnh vượng và Phát triển,2020-12-24T00:00:00
PGD,Công ty Cổ phần Phân phối khí thấp áp dầu khí Việt Nam,2009-11-26T00:00:00
PGT,Công ty Cổ phần PGT Holdings,2009-12-25T00:00:00
PGV,Tổng Công ty Phát điện 3 - Công ty Cổ phần,2018-03-21T00:00:00
PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,2009-11-05T00:00:00
PIC,Công ty Cổ phần Đầu tư Điện lực 3,2015-08-05T00:00:00
PIS,Tổng Công ty Pisico Bình Định - Công ty Cổ phần,2016-01-12T00:00:00
PJC,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội,2006-12-25T00:00:00
PLP,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,2017-08-21T00:00:00
PNC,Công ty Cổ phần Văn hóa Phương Nam,2005-07-11T00:00:00
PND,Công ty Cổ phần Xăng dầu Dầu khí Nam Định,2017-02-20T00:00:00
PNP,Công ty Cổ phần Tân Cảng – Phú Hữu,2019-05-17T00:00:00
POS,Công ty Cổ phần Vận hành và Xây lắp PTSC,2016-11-25T00:00:00
POV,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,2010-09-23T00:00:00
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,2018-03-06T00:00:00
PPH,Tổng Công ty Cổ phần Phong Phú,2017-08-23T00:00:00
PPP,Công ty Cổ phần Dược phẩm Phong Phú,2011-07-18T00:00:00
PRE,Tổng Công ty Cổ phần Tái bảo hiểm Hà Nội,2020-12-24T00:00:00
PRO,Công ty Cổ phần Procimex Việt Nam,2014-10-10T00:00:00
PSB,Công ty Cổ phần Đầu tư Dầu khí Sao Mai Bến Đình,2010-02-25T00:00:00
PTI,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,2011-03-02T00:00:00
PTL,Công ty Cổ phần Victory Group,2010-09-22T00:00:00
PTM,"Công ty Cổ phần Sản xuất, Thương mại Và Dịch vụ Ô tô PTM",2025-08-22T00:00:00
PTO,Công ty Cổ phần Dịch vụ - Xây dựng Công trình Bưu điện,2017-06-20T00:00:00
PTS,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,2006-12-01T00:00:00
PV2,Công ty Cổ phần Đầu tư PV2,2010-12-16T00:00:00
PVH,Công ty Cổ phần Xây lắp Dầu khí Thanh Hóa,2017-05-19T00:00:00
PVL,Công ty Cổ phần Địa ốc Dầu khí,2010-04-15T00:00:00
PVO,Công ty Cổ phần Dầu nhờn PV Oil,2016-01-12T00:00:00
PVR,Công ty Cổ phần Đầu tư PVR Hà Nội,2010-06-21T00:00:00
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,2007-12-10T00:00:00
PVV,Công ty Cổ phần Vinaconex 39,2010-09-09T00:00:00
PVY,Công ty Cổ phần Chế tạo Giàn khoan Dầu khí,2017-12-29T00:00:00
PXA,Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,2011-02-22T00:00:00
PXI,Công ty Cổ phần Xây dựng Công nghiệp và Dân dụng Dầu khí,2010-06-21T00:00:00
PXM,Công ty Cổ phần Xây lắp Dầu khí Miền Trung,2010-06-21T00:00:00
PXS,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,2010-06-02T00:00:00
QHD,Công ty Cổ phần Que hàn điện Việt Đức,2010-04-22T00:00:00
QNC,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,2008-01-17T00:00:00
QNW,Công ty Cổ phần Cấp thoát nước và xây dựng Quảng Ngãi,2016-12-26T00:00:00
